label	f1	precision	recall
Speech	0.866	0.907	0.829
Dog	0.646	0.659	0.634
Cat	0.624	0.710	0.557
Alarm_bell_ringing	0.780	0.876	0.702
Dishes	0.491	0.677	0.385
Frying	0.585	0.559	0.613
Blender	0.624	0.576	0.680
Running_water	0.652	0.785	0.557
Vacuum_cleaner	0.648	0.694	0.607
Electric_shaver_toothbrush	0.613	0.605	0.622
macro	0.653	0.705	0.619
micro	0.729	0.784	0.681
