label	f1	precision	recall
Speech	0.884	0.892	0.877
Dog	0.643	0.604	0.687
Cat	0.671	0.797	0.580
Alarm_bell_ringing	0.754	0.856	0.674
Dishes	0.475	0.528	0.431
Frying	0.500	0.537	0.468
Blender	0.567	0.486	0.680
Running_water	0.626	0.807	0.511
Vacuum_cleaner	0.635	0.688	0.589
Electric_shaver_toothbrush	0.513	0.488	0.541
macro	0.627	0.668	0.604
micro	0.722	0.753	0.693
