label	f1	precision	recall
Speech	0.868	0.919	0.823
Dog	0.655	0.625	0.687
Cat	0.626	0.680	0.580
Alarm_bell_ringing	0.790	0.916	0.695
Dishes	0.529	0.708	0.422
Frying	0.584	0.533	0.645
Blender	0.552	0.649	0.480
Running_water	0.655	0.779	0.565
Vacuum_cleaner	0.650	0.623	0.679
Electric_shaver_toothbrush	0.658	0.619	0.703
macro	0.657	0.705	0.628
micro	0.732	0.782	0.688
