label	f1	precision	recall
Speech	0.891	0.893	0.889
Dog	0.667	0.685	0.649
Cat	0.662	0.754	0.591
Alarm_bell_ringing	0.744	0.821	0.681
Dishes	0.536	0.662	0.450
Frying	0.580	0.526	0.645
Blender	0.517	0.590	0.460
Running_water	0.661	0.828	0.550
Vacuum_cleaner	0.673	0.706	0.643
Electric_shaver_toothbrush	0.690	0.617	0.784
macro	0.662	0.708	0.634
micro	0.745	0.784	0.710
