label	f1	precision	recall
Speech	0.869	0.901	0.839
Dog	0.612	0.658	0.573
Cat	0.657	0.885	0.523
Alarm_bell_ringing	0.702	0.842	0.603
Dishes	0.400	0.530	0.321
Frying	0.540	0.493	0.597
Blender	0.609	0.667	0.560
Running_water	0.584	0.782	0.466
Vacuum_cleaner	0.623	0.660	0.589
Electric_shaver_toothbrush	0.592	0.618	0.568
macro	0.619	0.703	0.564
micro	0.705	0.780	0.644
