label	f1	precision	recall
Speech	0.870	0.901	0.841
Dog	0.672	0.736	0.618
Cat	0.620	0.700	0.557
Alarm_bell_ringing	0.789	0.924	0.688
Dishes	0.516	0.623	0.440
Frying	0.566	0.494	0.661
Blender	0.610	0.582	0.640
Running_water	0.575	0.753	0.466
Vacuum_cleaner	0.635	0.688	0.589
Electric_shaver_toothbrush	0.667	0.634	0.703
macro	0.652	0.703	0.620
micro	0.727	0.781	0.680
