label	f1	precision	recall
Speech	0.884	0.903	0.865
Dog	0.609	0.661	0.565
Cat	0.571	0.630	0.523
Alarm_bell_ringing	0.786	0.892	0.702
Dishes	0.497	0.672	0.394
Frying	0.576	0.519	0.645
Blender	0.574	0.614	0.540
Running_water	0.673	0.831	0.565
Vacuum_cleaner	0.629	0.673	0.589
Electric_shaver_toothbrush	0.734	0.690	0.784
macro	0.653	0.709	0.617
micro	0.734	0.787	0.687
