label	f1	precision	recall
Speech	0.883	0.900	0.867
Dog	0.636	0.646	0.626
Cat	0.611	0.786	0.500
Alarm_bell_ringing	0.781	0.891	0.695
Dishes	0.435	0.673	0.321
Frying	0.588	0.541	0.645
Blender	0.589	0.622	0.560
Running_water	0.633	0.793	0.527
Vacuum_cleaner	0.673	0.729	0.625
Electric_shaver_toothbrush	0.612	0.542	0.703
macro	0.644	0.712	0.607
micro	0.731	0.789	0.682
