label	f1	precision	recall
Speech	0.880	0.903	0.859
Dog	0.557	0.623	0.504
Cat	0.559	0.792	0.432
Alarm_bell_ringing	0.657	0.947	0.504
Dishes	0.447	0.623	0.349
Frying	0.490	0.667	0.387
Blender	0.290	0.526	0.200
Running_water	0.647	0.743	0.573
Vacuum_cleaner	0.615	0.506	0.786
Electric_shaver_toothbrush	0.711	0.692	0.730
macro	0.585	0.702	0.532
micro	0.699	0.785	0.630
